Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=e934bb33ef71dacb,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young 4.0 대한민국,총계정원장조정 경험자 - Python/R 등 프로그램 언어 활용 능력... PowerBI... Tableau Experience with Python/ R or other programming languages...
https://kr.indeed.com/viewjob?jk=05aa5498d84c58e1,데이터 엔지니어(신입/경력),쏘카 대한민국,"있는 분 • 데이터 분석팀 및 유관 부서와의 원활한 소통을 위한 기본적인 쿼리 작성 능력을 갖춘 분 • Python 또는 Java, Scala, C++, C# 등의 언어를 최소 1개 이상 능숙하게 사용할 수 있는 분 • 대용..."
https://kr.indeed.com/viewjob?jk=4665562997b87ff0,글로벌 소셜카지노 부문 사업PM,네오위즈 대한민국,슬롯/블랙잭 등의 카지노 게임에 대한 이해도가 있으신 분 2. SQL 사용이 익숙하신 분 3. 엑셀/R/ Python을 활용해 통계 분석이 가능하신 분 4. 영어 활용 능력이 높으신 분 * 면접 일정 안내는 서류 합격...
https://kr.indeed.com/viewjob?jk=385761a6f14de7c6,데이터분석가,RIDI Corp 서울,"데이터에 기반한 사고 능력 통계 기본 지식 및 모델링에 대한 이해와 활용 가능 데이터 처리 언어 (R, Python, Scala) 사용 경험 우대사항 리디 서비스 사용 경험 통계 모델링 또는 머신러닝 경험 데이터 시각화..."
https://kr.indeed.com/viewjob?jk=6aa5be5cfd7b0e18,"Solutions Engineer, AI and Simulations",ChilliConnect 서울,"experience in one... following languages: C#, C++, Python, or Java Experience in one... following libraries..."
https://kr.indeed.com/viewjob?jk=a6357089799f9975,Deep Learning R&D Engineer,Intel 4.1 서울,"Caffe, and MxNet Strong programming skills with C/C++ and Python Experiences on programming and testing on Linux environment..."
https://kr.indeed.com/viewjob?jk=623d7d0a12068235,[대구] 빅데이터 개발 연구원,드림아이디어소프트 대구 동구,"학력 : 대졸 이상 (2,3년) 지원자격 - 빅데이터 기반 서비스 개발에 관심있는 분 - Java 또는 R, Python 활용 가능한 분 - 적극적인 사고와 원활한 커뮤니케이션 능력을 가지신 분 우대사항 - 백엔드 서버 개발..."
https://kr.indeed.com/viewjob?jk=44b27e9dde454c6a,[고경력자의 경우 시간단축] 홈페이지 개발 및 관리 웹프로그래머,규 대한민국,그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머>HDML|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>HTML...
https://kr.indeed.com/viewjob?jk=df607996134e60ff,스테코 부문별 신입 및 경력사원,스테코 천안 서북구,"알고리즘 개발 ※ C/C++ , Python , 할콘 library 개발... 데이터 처리 개발 경험 - HTML5기반 Web 시스템 개발 경험 - Python개발 경험 인사팀 인문계열 0명 ㆍ스테코 인사담당 업무 - 인사기획..."
https://kr.indeed.com/viewjob?jk=05a8e481d9859e2c,"고등광기술연구소 레이저응용시스템연구실 박사후연구원, 위촉연구원",광주과학기술원 광주 북구,"공지능 융합연구 (Matlab/ python, Labview/ FPGA... 연구/개발 2. 레이저/포토닉스-인공지능 융합연구 (Matlab/ python, Labview/ FPGA/ Raspberry Pi 등 경험자..."
https://kr.indeed.com/viewjob?jk=7e9a745cd8bdcbe3,"Design Consultant, Staff",Synopsys 대한민국,"industry DFT, MBIST, and ATPG tools •Experience scripting... Python and Tcl. Experience with Verilog or SystemVerilog RTL..."
https://kr.indeed.com/viewjob?jk=94e6b51a16f4a0f6,Perception Software Engineer - Autonomou...,NVIDIA 대한민국,work experience. Strong programming skills in C++ and python. Hands-on experience in developing algorithms for state...
https://kr.indeed.com/viewjob?jk=18f62dc644a89e0c,2021 Global Data Internship - Seoul (Kor...,Bloomberg 서울,"work experience using one or more programming language (e.g. Python, JavaScript, SQL, etc.) Prior coursework or involvement..."
https://kr.indeed.com/viewjob?jk=089931931a0474d5,소형전지사업부/기술혁신센터,삼성SDI 3.9 충청남도 천안,"천안 전공분야 - 컴퓨터/시스템 전자/전기 기계/산공 전문지식 - Java, C#, C++, Python - Oracle (PL/SQL) - Automod, VisualComponent - 통신프로그래밍 경험..."
https://kr.indeed.com/viewjob?jk=68c314d4a02b84a6,Field Application Engineer,"Quectel Wireless Solution Co,.LTD 경기도 성남","understanding of object-oriented languages Proficiency in Python/Shell and C/C++ and (Linux, Unix) OS environment Familiar..."
https://kr.indeed.com/viewjob?jk=e8a4630bec0783e8,2021 Market Data Analyst - Seoul,Bloomberg 서울,"work experience using one more programming language... Python, SQL and R Fluency in Korean and English (both spoken..."
